"";"systemsGroup";"system";"file";"devId";"dev_answer";"doa";"commit";"blame";"doaValue";"commitValue";"blameValue";"isFA";"DE";"AC";"nCommits";"LOC";"daysLastCommit";"nComAfter";"commitsPerc"
"59";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PurchaseService.java";"dev-5457";5;"miss";"miss";"miss";"0,374";"0,1";"0,05128";FALSE;2;41;43;32;41;2;4,44444444444444
"60";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PurchaseService.java";"dev-5459";4;"miss";"hit";"hit";"0,53365";"0,4";"0,12821";FALSE;8;35;43;32;89;10;17,7777777777778
"61";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PurchaseService.java";"dev-5455";1;"hit";"hit";"hit";"0,40053";"0,15";"0,02564";FALSE;3;40;43;32;43;3;6,66666666666667
"62";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PurchaseService.java";"dev-5461";2;"hit";"hit";"miss";"0,3475";"0,05";"0,33333";FALSE;1;42;43;32;22;0;2,22222222222222
"63";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/WithdrawController.java";"dev-5459";3;"miss";"miss";"miss";"0,80044";"1";"0,21739";FALSE;7;11;18;86;46;0;36,8421052631579
"64";"Commercial";"commercial#1";"hot-listboss-ejb/src/main/java/com/hotmart/listboss/provider/impl/MailchimpClientV3.java";"dev-5454";5;"hit";"hit";"hit";"1";"1";"1";TRUE;13;6;19;239;5;0;70
"65";"Commercial";"commercial#1";"hot-listboss-ejb/src/main/java/com/hotmart/listboss/provider/impl/MailchimpClientV3.java";"dev-5449";3;"hit";"miss";"hit";"0,51862";"0,28571";"0,00667";FALSE;4;15;19;239;111;5;20
"66";"Commercial";"commercial#1";"hot-listboss-ejb/src/main/java/com/hotmart/listboss/provider/impl/MailchimpClientV3.java";"dev-5446";1;"hit";"hit";"hit";"0,4566";"0,14286";"0";FALSE;2;17;19;239;139;8;10
"67";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/lotserial/service/impl/LotSerialServiceImpl.java";"dev-5454";5;"hit";"hit";"hit";"1";"1";"1";TRUE;44;17;61;362;4;0;72,5806451612903
"68";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/lotserial/service/impl/LotSerialServiceImpl.java";"dev-5446";3;"hit";"hit";"hit";"0,216";"0,04444";"0";FALSE;2;59;61;362;139;26;3,2258064516129
"69";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/lotserial/service/impl/LotSerialServiceImpl.java";"dev-5451";2;"hit";"hit";"hit";"0,2795";"0,13333";"0,05226";FALSE;6;55;61;362;13;6;9,67741935483871
"70";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/lotserial/service/impl/LotSerialServiceImpl.java";"dev-5459";3;"hit";"miss";"hit";"0,32723";"0,2";"0,04513";FALSE;9;52;61;362;54;9;14,5161290322581
"71";"Commercial";"commercial#1";"hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/withdraw/service/WithdrawService.java";"dev-5459";5;"hit";"hit";"hit";"0,8904";"1";"0,27778";FALSE;7;5;12;19;46;0;53,8461538461538
"72";"Commercial";"commercial#1";"hot-listboss-ejb/src/main/java/com/hotmart/listboss/service/ListBossService.java";"dev-5449";4;"miss";"miss";"hit";"0,33394";"0,13333";"0,15385";FALSE;4;34;38;41;111;1;10
"73";"Commercial";"commercial#1";"hot-listboss-ejb/src/main/java/com/hotmart/listboss/service/ListBossService.java";"dev-5459";4;"miss";"miss";"miss";"0,29281";"0,06667";"0,02564";FALSE;2;36;38;41;152;8;5
"74";"Commercial";"commercial#1";"hot-listboss-ejb/src/main/java/com/hotmart/listboss/service/ListBossService.java";"dev-5454";5;"hit";"hit";"hit";"1";"1";"0,53846";TRUE;29;9;38;41;90;0;75
"75";"Commercial";"commercial#1";"hot-listboss-ejb/src/main/java/com/hotmart/listboss/service/ListBossService.java";"dev-5446";1;"hit";"hit";"hit";"0,27228";"0,03333";"0,02564";FALSE;1;37;38;41;146;7;2,5
