message;systemsGroup;system;file;answer;doa;commit;blame;newApproach;doaV;CommitV;blameV;nDevs;isFirst;DE;nChanges;devCommits;nCommits;LoComm;LoCode;devChurn;fileChurn;daysLastChange;daysLC;daysSurvey;nComAfter;dateLC;last10-s;last10
Non-Maintainers failure;Commercial;hot-marketplace;hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/userprofile/service/FinancialService.java;1;FALSE;TRUE;FALSE;FALSE;0,58018;0,42857;0,07143;6;FALSE;6;29;6;30;0;26;18;218;36;36;59;0;58:36,0;yyyyyynnnn;6
OK Maintainer;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/BadgesController.java;5;FALSE;FALSE;FALSE;FALSE;0,94163;0,28571;1;3;TRUE;1;9;2;10;0;27;30;72;0;5;28;1;46:22,0;nynnnnnnny;2
OK Maintainer;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/BadgesController.java;5;FALSE;FALSE;FALSE;FALSE;1;1;0,84211;3;FALSE;7;9;7;10;0;27;40;72;0;0;23;0;48:02,0;ynyyyyynyn;7
Non-Maintainers failure;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/BadgesController.java;3;TRUE;FALSE;FALSE;FALSE;0,67306;0,14286;0,05263;3;FALSE;1;9;1;10;0;27;2;72;0;183;206;7;25:00,0;nnnnnnnynn;1
OK Maintainer;Commercial;hot-marketplace;hot-product-ejb/src/main/java/com/hotmart/marketplace/product/upload/ProductContentBuilder.java;5;FALSE;FALSE;FALSE;FALSE;1;0,5;1;4;TRUE;0;4;1;5;0;20;28;48;34;291;314;4;54:41,0;nnnny;1
Maintainers failure;Commercial;hot-marketplace;hot-product-ejb/src/main/java/com/hotmart/marketplace/product/upload/ProductContentBuilder.java;4;FALSE;FALSE;TRUE;FALSE;0,77742;0,5;0;4;FALSE;1;4;1;5;0;20;6;48;34;140;163;2;42:23,0;nnynn;1
Non-Maintainers failure;Commercial;hot-marketplace;hot-product-ejb/src/main/java/com/hotmart/marketplace/product/upload/ProductContentBuilder.java;1;TRUE;TRUE;TRUE;TRUE;0,84358;1;0,125;4;FALSE;2;4;2;5;0;20;12;48;34;139;162;1;55:44,0;nynyn;2
Non-Maintainers failure;Commercial;hot-marketplace;hot-product-ejb/src/main/java/com/hotmart/marketplace/product/upload/ProductContentBuilder.java;3;TRUE;TRUE;FALSE;TRUE;0,77742;0,5;0,04167;4;FALSE;1;4;1;5;0;20;2;48;34;34;57;0;11:24,0;ynnnn;1
OK Maintainer;Commercial;hot-marketplace;hot-affiliation-web/src/main/java/com/hotmart/marketplace/rest/RestMethods.java;5;FALSE;FALSE;FALSE;FALSE;0,63134;0,33333;1;4;FALSE;3;23;3;24;0;44;64;324;67;67;90;0;07:07,0;yyynnnnnnn;3
Non-Maintainers failure;Commercial;hot-marketplace;hot-eticket-ejb/src/main/java/com/hotmart/marketplace/eticket/vo/request/LockETicketRequestVO.java;1;TRUE;TRUE;TRUE;TRUE;1;0,33333;0,29167;3;TRUE;0;4;1;6;0;21;52;230;81;218;241;3;59:01,0;nnnyny;2
Non-Maintainers failure;Commercial;hot-marketplace;hot-eticket-ejb/src/main/java/com/hotmart/marketplace/eticket/vo/request/LockETicketRequestVO.java;3;TRUE;TRUE;TRUE;TRUE;0,9195;1;1;3;FALSE;3;4;3;6;0;21;167;230;81;81;104;0;26:48,0;yyynnn;3
Maintainers failure;Commercial;hot-marketplace;hot-eticket-ejb/src/main/java/com/hotmart/marketplace/eticket/service/TicketInviteService.java;5;FALSE;TRUE;TRUE;TRUE;0,6136;0,16667;0;3;FALSE;1;11;1;12;5;18;10;106;14;15;38;2;55:31,0;nnynnnnnnn;1
OK Maintainer;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/CallCenterController.java;5;FALSE;FALSE;FALSE;FALSE;1;1;0,31579;3;TRUE;9;16;10;17;0;180;178;487;61;127;149;4;29:38,0;nnnnynnyyn;3
OK Maintainer;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/CallCenterController.java;4;FALSE;FALSE;FALSE;FALSE;0,67454;0,6;1;3;FALSE;6;16;6;17;0;180;307;487;61;61;84;0;24:06,0;yyyynynnny;6
OK Non-Maintainers;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/CallCenterController.java;1;FALSE;FALSE;FALSE;FALSE;0,4937;0,1;0,00658;3;FALSE;1;16;1;17;0;180;2;487;61;183;206;6;25:00,0;nnnnnnynnn;1
OK Non-Maintainers;Commercial;hot-marketplace;hot-eticket-ejb/src/main/java/com/hotmart/marketplace/eticket/service/impl/EticketServiceImpl.java;2;FALSE;FALSE;FALSE;FALSE;0,36858;0,04348;0,02013;5;FALSE;1;46;1;47;3;249;3;1488;18;18;41;0;04:46,0;ynnnnnnnnn;1
Maintainers failure;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PurchaseService.java;4;TRUE;TRUE;TRUE;TRUE;0,374;0,1;0;8;FALSE;2;43;2;45;5;32;10;239;22;40;63;1;29:43,0;nynnnnnnyn;2
Maintainers failure;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PurchaseService.java;5;TRUE;TRUE;TRUE;TRUE;0,374;0,1;0,05128;8;FALSE;2;43;2;45;5;32;7;239;22;41;64;2;13:23,0;nnynnnnnnn;1
Maintainers failure;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PurchaseService.java;4;TRUE;FALSE;FALSE;FALSE;0,53365;0,4;0,12821;8;FALSE;8;43;8;45;5;32;21;239;22;89;112;10;10:17,0;nnnnnnnnnn;0
OK Non-Maintainers;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PurchaseService.java;1;FALSE;FALSE;FALSE;FALSE;0,40053;0,15;0,02564;8;FALSE;3;43;3;45;5;32;13;239;22;43;66;3;28:50,0;nnnyynnynn;3
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PurchaseService.java;2;FALSE;FALSE;TRUE;FALSE;0,3475;0,05;0,33333;8;FALSE;1;43;1;45;5;32;13;239;22;22;45;0;37:16,0;ynnnnnnnnn;1
Non-Maintainers failure;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/WithdrawController.java;3;TRUE;TRUE;TRUE;TRUE;0,80044;1;0,21739;4;FALSE;7;18;7;19;0;86;66;291;46;46;69;0;42:37,0;yyyyynyynn;7
OK Maintainer;Commercial;hot-marketplace;hot-listboss-ejb/src/main/java/com/hotmart/listboss/provider/impl/MailchimpClientV3.java;5;FALSE;FALSE;FALSE;FALSE;1;1;1;3;TRUE;13;19;14;20;0;239;996;1028;5;5;28;0;34:18,0;yyyyynynny;7
Non-Maintainers failure;Commercial;hot-marketplace;hot-listboss-ejb/src/main/java/com/hotmart/listboss/provider/impl/MailchimpClientV3.java;3;FALSE;TRUE;FALSE;FALSE;0,51862;0,28571;0,00667;3;FALSE;4;19;4;20;0;239;24;1028;5;111;133;5;38:55,0;nnnnnynynn;2
OK Non-Maintainers;Commercial;hot-marketplace;hot-listboss-ejb/src/main/java/com/hotmart/listboss/provider/impl/MailchimpClientV3.java;1;FALSE;FALSE;FALSE;FALSE;0,4566;0,14286;0;3;FALSE;2;19;2;20;0;239;8;1028;5;139;162;8;55:44,0;nnnnnnnnyn;1
OK Maintainer;Commercial;hot-marketplace;hot-product-ejb/src/main/java/com/hotmart/marketplace/lotserial/service/impl/LotSerialServiceImpl.java;5;FALSE;FALSE;FALSE;FALSE;1;1;1;4;TRUE;44;61;45;62;3;362;928;1147;4;4;27;0;06:44,0;yyyyyynynn;7
OK Non-Maintainers;Commercial;hot-marketplace;hot-product-ejb/src/main/java/com/hotmart/marketplace/lotserial/service/impl/LotSerialServiceImpl.java;3;FALSE;FALSE;FALSE;FALSE;0,216;0,04444;0;4;FALSE;2;61;2;62;3;362;16;1147;4;139;162;26;55:44,0;nnnnnnnnnn;0
OK Non-Maintainers;Commercial;hot-marketplace;hot-product-ejb/src/main/java/com/hotmart/marketplace/lotserial/service/impl/LotSerialServiceImpl.java;2;FALSE;FALSE;FALSE;FALSE;0,2795;0,13333;0,05226;4;FALSE;6;61;6;62;3;362;125;1147;4;13;36;6;28:37,0;nnnnnnynyn;2
Non-Maintainers failure;Commercial;hot-marketplace;hot-product-ejb/src/main/java/com/hotmart/marketplace/lotserial/service/impl/LotSerialServiceImpl.java;3;FALSE;TRUE;FALSE;FALSE;0,32723;0,2;0,04513;4;FALSE;9;61;9;62;3;362;78;1147;4;54;77;9;45:17,0;nnnnnnnnny;1
OK Maintainer;Commercial;hot-marketplace;hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/withdraw/service/WithdrawService.java;5;FALSE;FALSE;FALSE;FALSE;0,8904;1;0,27778;3;FALSE;7;12;7;13;0;19;16;59;46;46;69;0;42:37,0;yyyyyyynnn;7
Maintainers failure;Commercial;hot-marketplace;hot-listboss-ejb/src/main/java/com/hotmart/listboss/service/ListBossService.java;4;TRUE;TRUE;FALSE;TRUE;0,33394;0,13333;0,15385;5;FALSE;4;38;4;40;0;41;20;259;90;111;134;1;36:21,0;nynnnnnnnn;1
Maintainers failure;Commercial;hot-marketplace;hot-listboss-ejb/src/main/java/com/hotmart/listboss/service/ListBossService.java;4;TRUE;TRUE;TRUE;TRUE;0,29281;0,06667;0,02564;5;FALSE;2;38;2;40;0;41;17;259;90;152;175;8;16:41,0;nnnnnnnnyy;2
OK Maintainer;Commercial;hot-marketplace;hot-listboss-ejb/src/main/java/com/hotmart/listboss/service/ListBossService.java;5;FALSE;FALSE;FALSE;FALSE;1;1;0,53846;5;TRUE;29;38;30;40;0;41;108;259;90;90;113;0;28:27,0;ynyyyyynnn;6
OK Non-Maintainers;Commercial;hot-marketplace;hot-listboss-ejb/src/main/java/com/hotmart/listboss/service/ListBossService.java;1;FALSE;FALSE;FALSE;FALSE;0,27228;0,03333;0,02564;5;FALSE;1;38;1;40;0;41;6;259;90;146;169;7;57:13,0;nnnnnnnynn;1
Non-Maintainers failure;Commercial;hot-marketplace;hot-listboss-ejb/src/main/java/com/hotmart/listboss/service/ListBossService.java;2;FALSE;FALSE;TRUE;FALSE;0,29281;0,06667;1;5;FALSE;2;38;2;40;0;41;108;259;90;184;206;10;16:45,0;nnnnnnnnnn;0
Non-Maintainers failure;Commercial;hot-marketplace;hot-product-ejb/src/main/java/com/hotmart/marketplace/commission/service/impl/CommissionServiceImpl.java;3;TRUE;TRUE;TRUE;TRUE;0,69412;0,625;0,16279;2;FALSE;5;12;5;13;3;77;36;191;34;34;57;0;11:24,0;yynnynnynn;4
Non-Maintainers failure;Commercial;hot-marketplace;hot-product-ejb/src/main/java/com/hotmart/marketplace/commission/service/impl/CommissionServiceImpl.java;3;TRUE;TRUE;TRUE;TRUE;1;1;1;2;TRUE;7;12;8;13;3;77;155;191;34;131;154;2;37:45,0;nnyynyynyy;6
Maintainers failure;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/PostbackServiceImpl.java;4;TRUE;FALSE;TRUE;TRUE;0,55375;0,2;0,01456;3;FALSE;3;21;3;22;2;348;166;810;3;36;59;9;28:45,0;nnnnnnnnny;1
OK Maintainer;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/PostbackServiceImpl.java;5;FALSE;FALSE;FALSE;FALSE;1;1;1;3;FALSE;15;21;15;22;2;348;476;810;3;3;26;0;46:45,0;yyyyyyyyyn;9
Maintainers failure;Commercial;hot-marketplace;hot-product-web/src/main/java/com/hotmart/marketplace/rest/ProductController.java;5;TRUE;TRUE;TRUE;TRUE;0,17628;0,15261;0,07601;6;FALSE;38;348;38;352;0;1058;721;8232;1;1;24;0;45:06,0;ynnnnnnnnn;1
Maintainers failure;Commercial;hot-marketplace;hot-product-web/src/main/java/com/hotmart/marketplace/rest/ProductController.java;4;TRUE;TRUE;TRUE;TRUE;0,07785;0,04819;0,0306;6;FALSE;12;348;12;352;0;1058;121;8232;1;14;37;7;56:59,0;nnnnnnnynn;1
OK Maintainer;Commercial;hot-marketplace;hot-product-web/src/main/java/com/hotmart/marketplace/rest/ProductController.java;5;FALSE;FALSE;FALSE;FALSE;1;1;1;6;TRUE;248;348;249;352;0;1058;6038;8232;1;5;28;1;00:34,0;nyyyynynyy;7
OK Non-Maintainers;Commercial;hot-marketplace;hot-product-web/src/main/java/com/hotmart/marketplace/rest/ProductController.java;3;FALSE;FALSE;FALSE;FALSE;0,07785;0,04819;0,01382;6;FALSE;12;348;12;352;0;1058;569;8232;1;68;91;33;46:41,0;nnnnnnnnnn;0
OK Non-Maintainers;Commercial;hot-marketplace;hot-product-ejb/src/main/java/com/hotmart/marketplace/category/service/impl/CategoryServiceImpl.java;1;FALSE;FALSE;FALSE;FALSE;0,49224;0,1;0;4;FALSE;1;13;1;15;0;27;3;296;26;124;147;7;41:04,0;nnnnnnnynn;1
OK Maintainer;Commercial;hot-marketplace;hot-product-ejb/src/main/java/com/hotmart/marketplace/product/upload/ProductPictureBuilder.java;5;FALSE;FALSE;FALSE;FALSE;1;0,5;1;4;TRUE;0;4;1;5;0;20;27;47;34;291;314;4;54:41,0;nnnny;1
Maintainers failure;Commercial;hot-marketplace;hot-product-ejb/src/main/java/com/hotmart/marketplace/product/upload/ProductPictureBuilder.java;4;FALSE;FALSE;TRUE;FALSE;0,77742;0,5;0;4;FALSE;1;4;1;5;0;20;6;47;34;140;163;2;42:23,0;nnynn;1
Non-Maintainers failure;Commercial;hot-marketplace;hot-product-ejb/src/main/java/com/hotmart/marketplace/product/upload/ProductPictureBuilder.java;1;TRUE;TRUE;TRUE;TRUE;0,84358;1;0,13043;4;FALSE;2;4;2;5;0;20;12;47;34;139;162;1;55:44,0;nynyn;2
Non-Maintainers failure;Commercial;hot-marketplace;hot-product-ejb/src/main/java/com/hotmart/marketplace/product/upload/ProductPictureBuilder.java;2;TRUE;TRUE;FALSE;TRUE;0,77742;0,5;0,04348;4;FALSE;1;4;1;5;0;20;2;47;34;34;57;0;11:24,0;ynnnn;1
Maintainers failure;Commercial;hot-marketplace;hot-listboss-ejb/src/main/java/com/hotmart/listboss/service/impl/ListBossServiceImpl.java;4;TRUE;TRUE;TRUE;TRUE;0,15555;0,05128;0,00213;5;FALSE;4;89;4;91;1;630;312;3554;6;161;184;45;14:41,0;nnnnnnnnnn;0
