system;commit_sha;date;developer;file;action
monolog;83a24937ba50ab39f450faf8c448d6c68a293ea0;2016-05-20 15:13:19.0;dev-1017;src/Monolog/Handler/RotatingFileHandler.php;MODIFIED
monolog;83a24937ba50ab39f450faf8c448d6c68a293ea0;2016-05-20 15:13:19.0;dev-1017;tests/Monolog/Handler/RotatingFileHandlerTest.php;MODIFIED
monolog;83e1e2d80a4933e5019d396b9466fec5690fb393;2012-02-27 12:38:06.0;dev-1014;src/Monolog/Handler/SocketHandler.php;MODIFIED
monolog;83e1e2d80a4933e5019d396b9466fec5690fb393;2012-02-27 12:38:06.0;dev-1014;tests/Monolog/Handler/SocketHandlerTest.php;MODIFIED
monolog;f258a2ed2970a60100a0cce8b7ea5df6df9b08b9;2015-07-07 13:25:03.0;dev-1185;src/Monolog/Handler/LogglyHandler.php;MODIFIED
monolog;9c78c9764ae426f2da00d506ea83ab979132cefc;2014-12-12 06:38:40.0;dev-1108;src/Monolog/Formatter/GelfMessageFormatter.php;MODIFIED
monolog;0524c87587ab85bc4c2d6f5b41253ccb930a5422;2015-08-31 06:17:37.0;dev-1037;CHANGELOG.mdown;MODIFIED
monolog;a8ab53fdd2db13b3cd033667cac9227ac028d235;2015-07-17 15:46:18.0;dev-963;tests/Monolog/RegistryTest.php;MODIFIED
monolog;5c6acb68d5e8e01d8293b62ce126f5c6f95c3509;2015-06-05 07:44:02.0;dev-1037;src/Monolog/Handler/GelfHandler.php;MODIFIED
monolog;5c6acb68d5e8e01d8293b62ce126f5c6f95c3509;2015-06-05 07:44:02.0;dev-1037;composer.json;MODIFIED
monolog;fcd0d092b3c60c259652df31a8e70ef5e027c100;2014-03-31 09:56:07.0;dev-1196;src/Monolog/Handler/LogEntriesHandler.php;MODIFIED
monolog;131b27d1132efc8a4f8e8ec9b0e56433e12f5237;2015-06-01 18:33:28.0;dev-1037;tests/Monolog/Formatter/NormalizerFormatterTest.php;MODIFIED
monolog;9aba3242f6bc322fc0746d9a897c75638611e109;2014-07-01 15:25:13.0;dev-1009;src/Monolog/Processor/WebProcessor.php;MODIFIED
monolog;dae7e03ae306049fb9ed5d7f30eb4c8c737e5f8a;2013-01-22 06:58:40.0;dev-1037;src/Monolog/Handler/PushoverHandler.php;MODIFIED
monolog;d75e0b73f38ad4c1d6bd61166140e237dea70cb4;2012-02-25 21:37:53.0;dev-1173;README.mdown;MODIFIED
monolog;d75e0b73f38ad4c1d6bd61166140e237dea70cb4;2012-02-25 21:37:53.0;dev-1173;doc/sockets.md;ADDED
monolog;afe921b89db651881f76efa0d7b3299995e5a7c9;2012-10-17 19:06:36.0;dev-1023;src/Monolog/Handler/CubeHandler.php;MODIFIED
monolog;a754edc64cc12a6c305c13e772ac7c2731efe892;2016-04-12 14:31:25.0;dev-1037;tests/Monolog/Handler/NativeMailerHandlerTest.php;MODIFIED
monolog;a754edc64cc12a6c305c13e772ac7c2731efe892;2016-04-12 14:31:25.0;dev-1037;src/Monolog/Handler/SwiftMailerHandler.php;MODIFIED
monolog;a754edc64cc12a6c305c13e772ac7c2731efe892;2016-04-12 14:31:25.0;dev-1037;src/Monolog/Handler/NativeMailerHandler.php;MODIFIED
monolog;a754edc64cc12a6c305c13e772ac7c2731efe892;2016-04-12 14:31:25.0;dev-1037;tests/Monolog/Handler/SwiftMailerHandlerTest.php;MODIFIED
monolog;a754edc64cc12a6c305c13e772ac7c2731efe892;2016-04-12 14:31:25.0;dev-1037;src/Monolog/Handler/MailHandler.php;MODIFIED
monolog;6f26801be6563ef20fe6fab7deda2adefe704b44;2016-05-26 14:04:57.0;dev-1037;src/Monolog/Formatter/JsonFormatter.php;MODIFIED
monolog;6f26801be6563ef20fe6fab7deda2adefe704b44;2016-05-26 14:04:57.0;dev-1037;src/Monolog/Formatter/NormalizerFormatter.php;MODIFIED
monolog;6f26801be6563ef20fe6fab7deda2adefe704b44;2016-05-26 14:04:57.0;dev-1037;src/Monolog/Formatter/LineFormatter.php;MODIFIED
monolog;4a1429e573415eb95e2d5962e1e40bd09fc1866b;2015-10-19 07:25:21.0;dev-1179;src/Monolog/Handler/GelfHandler.php;MODIFIED
monolog;d52085a32f77a20f1b1217f4736854a89d8cbc82;2014-09-17 17:38:44.0;dev-1144;src/Monolog/Handler/StreamHandler.php;MODIFIED
monolog;ea6b428f839db0c3bae7530279ad83912e802a8d;2014-03-29 20:54:34.0;dev-1071;tests/Monolog/Formatter/WildfireFormatterTest.php;MODIFIED
monolog;5b52bc05bab68ad18af5a26f9ebd9d80b080835f;2014-09-24 14:18:58.0;dev-1157;README.mdown;MODIFIED
monolog;a2162c1787f9c5ed4e2b2ef9cba793d095514a9c;2013-01-31 03:22:52.0;dev-1000;src/Monolog/Handler/ZendMonitorHandler.php;MODIFIED
monolog;a2162c1787f9c5ed4e2b2ef9cba793d095514a9c;2013-01-31 03:22:52.0;dev-1000;tests/Monolog/Handler/ZendMonitorHandlerTest.php;MODIFIED
monolog;119807c80ede97c52671d16ff12a4957624a7e91;2016-05-27 09:56:49.0;dev-1037;.travis.yml;MODIFIED
monolog;119807c80ede97c52671d16ff12a4957624a7e91;2016-05-27 09:56:49.0;dev-1037;tests/Monolog/Formatter/NormalizerFormatterTest.php;MODIFIED
monolog;a2c6c37c8d10da4629e447ad21620a49e13bbf43;2015-03-04 22:11:15.0;dev-981;src/Monolog/Formatter/JsonFormatter.php;MODIFIED
monolog;a2c6c37c8d10da4629e447ad21620a49e13bbf43;2015-03-04 22:11:15.0;dev-981;src/Monolog/Handler/SlackHandler.php;MODIFIED
monolog;a2c6c37c8d10da4629e447ad21620a49e13bbf43;2015-03-04 22:11:15.0;dev-981;tests/Monolog/Handler/NewRelicHandlerTest.php;MODIFIED
monolog;a2c6c37c8d10da4629e447ad21620a49e13bbf43;2015-03-04 22:11:15.0;dev-981;src/Monolog/Handler/LogEntriesHandler.php;MODIFIED
monolog;a2c6c37c8d10da4629e447ad21620a49e13bbf43;2015-03-04 22:11:15.0;dev-981;src/Monolog/Handler/NativeMailerHandler.php;MODIFIED
monolog;a2c6c37c8d10da4629e447ad21620a49e13bbf43;2015-03-04 22:11:15.0;dev-981;src/Monolog/Handler/HipChatHandler.php;MODIFIED
monolog;a2c6c37c8d10da4629e447ad21620a49e13bbf43;2015-03-04 22:11:15.0;dev-981;src/Monolog/Handler/BrowserConsoleHandler.php;MODIFIED
monolog;b62f2651cd8b6205d0b4b97240c72b5f71da2885;2013-01-07 17:18:14.0;dev-1037;composer.json;MODIFIED
monolog;d7d572a0e2c488bf1b6848d71a5d4fbb163a2992;2014-07-27 12:20:10.0;dev-1025;src/Monolog/Handler/StreamHandler.php;MODIFIED
